"","Mean.Temperature","Max.Temperature","Min.Temperature","Dew.Point","Average.Humidity","Maximum.Humidity","Minimum.Humidity","Precipitation","Sea.Level.Pressure","Wind.Speed","Max.Wind.Speed","Date"
"2015-01-01","1","3","-1","1","97","100","83","0.0","1018.73","13","24",2015-01-01
"2015-01-02","2","4","0","1","95","100","77","4.0","1004.34","24","37",2015-01-02
"2015-01-03","2","2","1","0","87","93","72","2.0","996.12","30","43",2015-01-03
"2015-01-04","0","1","-1","-2","89","100","60","5.0","996.10","23","32",2015-01-04
"2015-01-05","-4","0","-10","-5","85","100","53","1.0","1009.17","20","32",2015-01-05
"2015-01-06","-14","-10","-18","-16","76","92","45","0.0","1027.77","13","26",2015-01-06
"2015-01-07","-16","-11","-21","-19","81","92","59","0.0","1032.36","8","28",2015-01-07
"2015-01-08","-8","-2","-13","-11","78","100","41","0.0","1020.86","25","32",2015-01-08
"2015-01-09","-0","2","-3","-1","94","100","80","2.0","996.93","21","33",2015-01-09
"2015-01-10","0","3","-1","-0","98","100","83","3.0","990.05","11","33",2015-01-10
"2015-01-11","1","2","0","-1","85","100","63","0.7","983.77","33","56",2015-01-11
"2015-01-12","1","3","0","-2","91","100","67","2.0","998.85","21","32",2015-01-12
"2015-01-13","2","5","0","3","90","100","71","2.0","1003.09","24","33",2015-01-13
"2015-01-14","4","5","2","2","83","93","66","0.0","1004.13","18","25",2015-01-14
"2015-01-15","0","2","-2","-1","94","100","71","0.0","1012.87","11","20",2015-01-15
"2015-01-16","1","2","0","-1","89","100","75","0.2","1011.16","23","33",2015-01-16
"2015-01-17","1","2","0","-0","87","93","71","0.0","1009.32","16","28",2015-01-17
"2015-01-18","-1","1","-3","-1","96","100","86","0.0","1016.86","7","15",2015-01-18
"2015-01-19","-2","-1","-4","-2","99","100","90","0.0","1020.56","6","11",2015-01-19
"2015-01-20","-2","-1","-3","-5","79","93","56","0.0","1021.67","13","24",2015-01-20
"2015-01-21","-2","-1","-3","-3","92","100","80","2.0","1018.86","13","20",2015-01-21
"2015-01-22","-0","0","-1","-1","98","100","91","0.4","1021.03","6","11",2015-01-22
"2015-01-23","-0","0","-1","-0","98","100","90","1.0","1019.27","7","13",2015-01-23
"2015-01-24","-0","0","-1","-2","95","100","78","0.0","1020.25","11","17",2015-01-24
"2015-01-25","-0","0","-1","-0","99","100","92","0.6","1018.18","6","11",2015-01-25
"2015-01-26","-2","-1","-2","-2","99","100","91","0.1","1018.94","6","11",2015-01-26
"2015-01-27","-2","-1","-2","-2","96","100","85","0.0","1012.61","10","17",2015-01-27
"2015-01-28","-0","0","-1","-1","96","100","85","0.0","1006.07","9","18",2015-01-28
"2015-01-29","-0","0","-1","-3","86","100","67","0.7","994.34","22","33",2015-01-29
"2015-01-30","-0","1","-2","-1","90","100","75","0.0","988.60","17","30",2015-01-30
